"","Structure","Abbreviation","Hemisphere","Level_1","Level_2","Level_3","Level_4","Subdivisions_7","index","index2","clusfound","Subdivisions_7_nowm"
"23","Parietal_Cortex_Posterior_Area_Rostral_Part","PtPR","Left","1_forebrain","1_secondary_prosencephalon","1_isocortex","12_parietal_cortex","1_isocortex",23,23,0,"1_isocortex"
"86","Rostral_Linear_Nucleus","RI","Left","2_midbrain","m1","m1","2_midbrain_tegmentum","5_midbrain",86,86,0,"5_midbrain"
"102","Motor_Root_of_Trigeminal_Nerve","m5","Left","4_white_matter_tracts","hindbrain_white_matter","axial_hindbrain_white_matter","white_matter","6_hindbrain",102,102,0,"6_hindbrain"
"118","Anterior_Commisure","ac","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",118,118,0,"1_isocortex"
"119","Optic_Tracts","ot","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",119,119,0,"1_isocortex"
"120","Fimbria","fi","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",120,120,1,"1_isocortex"
"121","Corpus_Callosum","cc","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",121,121,1,"1_isocortex"
"122","Fornix","fx","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",122,122,1,"1_isocortex"
"123","Stria_Terminalis","st","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",123,123,0,"1_isocortex"
"124","Cingulum","cg","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",124,124,0,"1_isocortex"
"125","Lateral_Olfactory_Tract","lo","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",125,125,0,"1_isocortex"
"126","Ventral_Hippocampal_Commissure","vhc","Left","4_white_matter_tracts","forebrain_white_matter","prosencephalon_white_matter","white_matter","7_whitematter",126,126,0,"1_isocortex"
"127","Internal_Capsule","ic","Left","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",127,127,0,"4_diencephalon"
"128","Fasciculus_Retroflexus","fr","Left","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",128,128,0,"4_diencephalon"
"129","Stria_Medularis","sm","Left","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",129,129,0,"4_diencephalon"
"130","Mamillothalamic_Tract","mt","Left","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",130,130,0,"4_diencephalon"
"131","Posterior_Commissure","pc","Left","4_white_matter_tracts","forebrain_white_matter","diencephalon_white_matter","white_matter","7_whitematter",131,131,0,"4_diencephalon"
